x;z Taylora;next from prev
1,71583;2,24E-17;2,16E-17
1,71426;2,08E-17;1,91E-17
1,71269;1,99E-17;1,88E-17
1,71112;2,05E-17;1,93E-17
1,70955;1,92E-17;1,94E-17
1,70798;1,93E-17;2,00E-17
1,70641;2,02E-17;2,09E-17
1,70484;1,88E-17;1,83E-17
1,70327;1,74E-17;1,80E-17
1,7017;1,55E-17;1,54E-17
1,70013;1,75E-17;1,80E-17
1,69856;1,78E-17;2,00E-17
1,69699;1,85E-17;1,85E-17
1,69542;1,93E-17;1,95E-17
1,69385;1,71E-17;1,74E-17
1,69228;1,68E-17;1,65E-17
1,69071;1,43E-17;1,49E-17
1,68914;1,82E-17;1,84E-17
1,68757;1,62E-17;1,77E-17
1,686;2,07E-17;1,97E-17
1,68443;1,81E-17;1,87E-17
1,68286;1,91E-17;1,77E-17
1,68129;2,00E-17;1,97E-17
1,67972;1,77E-17;1,60E-17
1,67815;1,80E-17;1,73E-17
1,67658;1,69E-17;1,68E-17
1,67501;1,60E-17;1,67E-17
1,67344;2,01E-17;1,88E-17
1,67187;1,92E-17;1,77E-17
1,6703;1,83E-17;1,85E-17
1,66873;1,82E-17;1,79E-17
1,66716;2,02E-17;2,12E-17
1,66559;1,78E-17;1,79E-17
1,66402;1,73E-17;1,69E-17
1,66245;1,81E-17;1,97E-17
1,66088;2,02E-17;2,03E-17
1,65931;1,91E-17;1,85E-17
1,65774;1,73E-17;1,87E-17
1,65617;1,87E-17;1,89E-17
1,6546;1,85E-17;1,83E-17
1,65303;1,92E-17;1,85E-17
1,65146;1,81E-17;1,79E-17
1,64989;1,67E-17;1,69E-17
1,64832;1,62E-17;1,65E-17
1,64675;9,60E-18;9,99E-18
1,64518;1,01E-17;9,55E-18
1,64361;1,05E-17;9,49E-18
1,64204;1,19E-17;1,19E-17
1,64047;1,07E-17;1,09E-17
1,6389;1,07E-17;1,00E-17
1,63733;1,17E-17;1,05E-17
1,63576;1,07E-17;1,17E-17
1,63419;9,38E-18;9,05E-18
1,63262;1,04E-17;9,66E-18
1,63105;1,04E-17;1,04E-17
1,62948;1,02E-17;1,04E-17
1,62791;1,05E-17;1,01E-17
1,62634;1,09E-17;1,11E-17
1,62477;1,09E-17;1,14E-17
1,6232;8,99E-18;8,66E-18
1,62163;9,60E-18;9,16E-18
1,62006;1,01E-17;9,55E-18
1,61849;1,11E-17;1,00E-17
1,61692;9,49E-18;9,60E-18
1,61535;1,07E-17;1,02E-17
1,61378;1,01E-17;1,01E-17
1,61221;1,02E-17;9,55E-18
1,61064;9,77E-18;1,01E-17
1,60907;1,17E-17;1,11E-17
1,6075;1,00E-17;1,03E-17
1,60593;1,12E-17;9,94E-18
1,60436;9,55E-18;9,33E-18
1,60279;9,66E-18;9,88E-18
1,60122;1,08E-17;9,60E-18
1,59965;1,03E-17;8,99E-18
1,59808;1,14E-17;1,09E-17
1,59651;1,07E-17;1,06E-17
1,59494;1,02E-17;9,94E-18
1,59337;1,09E-17;1,03E-17
1,5918;1,07E-17;9,83E-18
1,59023;1,03E-17;9,55E-18
1,58866;1,12E-17;1,02E-17
1,58709;9,66E-18;8,60E-18
1,58552;1,06E-17;9,94E-18
1,58395;1,12E-17;1,04E-17
1,58238;1,02E-17;9,16E-18
1,58081;9,94E-18;9,71E-18
1,57924;1,17E-17;1,04E-17
1,57767;1,08E-17;9,88E-18
1,5761;1,02E-17;9,66E-18
1,57453;9,55E-18;8,83E-18
1,57296;1,00E-17;1,01E-17
1,57139;1,08E-17;1,04E-17
1,56982;1,00E-17;1,04E-17
1,56825;1,01E-17;1,01E-17
1,56668;9,88E-18;9,66E-18
1,56511;9,27E-18;9,33E-18
1,56354;1,05E-17;1,10E-17
1,56197;8,77E-18;8,77E-18
1,5604;9,55E-18;1,01E-17
1,55883;1,00E-17;9,77E-18
1,55726;9,49E-18;9,55E-18
1,55569;8,66E-18;8,77E-18
1,55412;1,12E-17;1,20E-17
1,55255;1,04E-17;1,02E-17
1,55098;9,66E-18;9,94E-18
1,54941;9,38E-18;9,10E-18
1,54784;1,02E-17;9,77E-18
1,54627;9,44E-18;9,38E-18
1,5447;9,99E-18;9,38E-18
1,54313;9,27E-18;8,77E-18
1,54156;8,60E-18;8,55E-18
1,53999;9,60E-18;9,16E-18
1,53842;1,04E-17;1,01E-17
1,53685;1,01E-17;9,38E-18
1,53528;1,13E-17;1,07E-17
1,53371;1,03E-17;9,66E-18
1,53214;9,27E-18;8,83E-18
1,53057;9,38E-18;9,05E-18
1,529;9,27E-18;8,77E-18
1,52743;8,66E-18;8,66E-18
1,52586;9,38E-18;9,38E-18
1,52429;9,16E-18;8,66E-18
1,52272;8,44E-18;8,60E-18
1,52115;9,60E-18;1,02E-17
1,51958;8,88E-18;8,27E-18
1,51801;1,03E-17;9,88E-18
1,51644;1,06E-17;9,88E-18
1,51487;1,04E-17;1,03E-17
1,5133;9,05E-18;8,77E-18
1,51173;1,01E-17;9,94E-18
1,51016;9,16E-18;9,16E-18
1,50859;8,60E-18;8,99E-18
1,50702;1,01E-17;9,44E-18
1,50545;8,22E-18;8,27E-18
1,50388;8,88E-18;9,49E-18
1,50231;8,55E-18;7,99E-18
1,50074;9,38E-18;9,16E-18
1,49917;9,21E-18;8,55E-18
1,4976;8,60E-18;8,99E-18
1,49603;9,99E-18;1,01E-17
1,49446;8,60E-18;8,60E-18
1,49289;9,60E-18;9,27E-18
1,49132;9,77E-18;9,83E-18
1,48975;9,10E-18;9,10E-18
1,48818;8,77E-18;9,16E-18
1,48661;9,66E-18;1,01E-17
1,48504;8,22E-18;8,72E-18
1,48347;9,71E-18;9,71E-18
1,4819;8,38E-18;8,66E-18
1,48033;1,00E-17;9,60E-18
1,47876;8,60E-18;8,99E-18
1,47719;8,99E-18;9,05E-18
1,47562;8,94E-18;8,88E-18
1,47405;1,00E-17;9,38E-18
1,47248;9,71E-18;9,88E-18
1,47091;8,94E-18;9,33E-18
1,46934;1,03E-17;9,71E-18
1,46777;9,60E-18;9,77E-18
1,4662;8,77E-18;8,44E-18
1,46463;8,77E-18;8,88E-18
1,46306;9,83E-18;9,94E-18
1,46149;8,77E-18;8,94E-18
1,45992;1,01E-17;1,07E-17
1,45835;9,10E-18;9,27E-18
1,45678;9,49E-18;9,55E-18
1,45521;8,99E-18;8,22E-18
1,45364;8,88E-18;8,88E-18
1,45207;8,83E-18;8,44E-18
1,4505;9,27E-18;9,10E-18
1,44893;8,55E-18;8,66E-18
1,44736;8,16E-18;8,44E-18
1,44579;9,71E-18;9,33E-18
1,44422;8,72E-18;8,55E-18
1,44265;8,55E-18;8,22E-18
1,44108;8,49E-18;8,60E-18
1,43951;8,44E-18;8,22E-18
1,43794;8,44E-18;8,72E-18
1,43637;9,88E-18;9,94E-18
1,4348;8,55E-18;8,83E-18
1,43323;8,99E-18;8,33E-18
1,43166;8,77E-18;8,55E-18
1,43009;9,05E-18;9,10E-18
1,42852;1,02E-17;1,01E-17
1,42695;9,60E-18;9,88E-18
1,42538;8,22E-18;8,49E-18
1,42381;1,00E-17;1,00E-17
1,42224;8,94E-18;8,55E-18
1,42067;9,49E-18;9,49E-18
1,4191;9,27E-18;9,71E-18
1,41753;9,27E-18;9,05E-18
1,41596;8,66E-18;8,33E-18
1,41439;9,44E-18;9,49E-18
1,41282;8,83E-18;9,05E-18
1,41125;8,94E-18;9,21E-18
1,40968;9,10E-18;8,77E-18
1,40811;8,38E-18;8,16E-18
1,40654;9,05E-18;8,83E-18
1,40497;9,55E-18;9,71E-18
1,4034;7,55E-18;7,11E-18
1,40183;8,83E-18;8,88E-18
1,40026;8,16E-18;7,83E-18
1,39869;7,94E-18;8,10E-18
1,39712;8,49E-18;8,55E-18
1,39555;5,72E-18;5,88E-18
1,39398;4,11E-18;3,94E-18
1,39241;4,39E-18;4,77E-18
1,39084;3,83E-18;4,11E-18
1,38927;4,66E-18;4,83E-18
1,3877;4,77E-18;4,11E-18
1,38613;5,11E-18;5,22E-18
1,38456;4,94E-18;4,72E-18
1,38299;3,66E-18;4,00E-18
1,38142;5,11E-18;4,72E-18
1,37985;4,83E-18;5,22E-18
1,37828;3,16E-18;3,22E-18
1,37671;5,44E-18;5,61E-18
1,37514;5,94E-18;5,27E-18
1,37357;4,44E-18;4,94E-18
1,372;4,11E-18;4,61E-18
1,37043;3,83E-18;3,94E-18
1,36886;5,94E-18;5,83E-18
1,36729;4,77E-18;4,77E-18
1,36572;4,55E-18;4,66E-18
1,36415;4,39E-18;4,39E-18
1,36258;4,72E-18;4,61E-18
1,36101;4,50E-18;4,61E-18
1,35944;4,55E-18;4,55E-18
1,35787;4,50E-18;4,44E-18
1,3563;5,00E-18;4,94E-18
1,35473;5,27E-18;5,22E-18
1,35316;4,77E-18;4,44E-18
1,35159;5,16E-18;5,16E-18
1,35002;4,55E-18;4,72E-18
1,34845;4,88E-18;5,05E-18
1,34688;5,16E-18;5,11E-18
1,34531;5,05E-18;4,94E-18
1,34374;4,27E-18;4,27E-18
1,34217;4,77E-18;4,77E-18
1,3406;4,27E-18;4,11E-18
1,33903;4,83E-18;4,61E-18
1,33746;4,16E-18;4,11E-18
1,33589;4,61E-18;4,72E-18
1,33432;4,16E-18;4,39E-18
1,33275;5,27E-18;5,22E-18
1,33118;4,33E-18;4,55E-18
1,32961;5,27E-18;5,33E-18
1,32804;4,05E-18;4,16E-18
1,32647;4,83E-18;4,66E-18
1,3249;5,11E-18;5,05E-18
1,32333;5,50E-18;5,50E-18
1,32176;4,72E-18;4,83E-18
1,32019;4,55E-18;4,44E-18
1,31862;4,72E-18;4,77E-18
1,31705;4,22E-18;4,39E-18
1,31548;4,39E-18;4,33E-18
1,31391;4,83E-18;4,77E-18
1,31234;4,77E-18;4,50E-18
1,31077;5,11E-18;4,83E-18
1,3092;5,11E-18;5,00E-18
1,30763;4,22E-18;4,27E-18
1,30606;4,72E-18;4,33E-18
1,30449;4,11E-18;4,00E-18
1,30292;3,28E-18;3,16E-18
1,30135;4,00E-18;4,16E-18
1,29978;3,89E-18;4,11E-18
1,29821;3,22E-18;3,28E-18
1,29664;4,33E-18;4,39E-18
1,29507;4,33E-18;4,66E-18
1,2935;3,83E-18;3,72E-18
1,29193;4,33E-18;4,44E-18
1,29036;3,77E-18;3,77E-18
1,28879;4,22E-18;4,33E-18
1,28722;4,66E-18;4,27E-18
1,28565;3,55E-18;3,66E-18
1,28408;3,39E-18;3,61E-18
1,28251;3,94E-18;3,69E-18
1,28094;3,86E-18;3,75E-18
1,27937;4,47E-18;4,36E-18
1,2778;3,86E-18;3,94E-18
1,27623;4,25E-18;4,19E-18
1,27466;3,72E-18;3,75E-18
1,27309;4,36E-18;4,36E-18
1,27152;3,77E-18;3,75E-18
1,26995;2,61E-18;2,53E-18
1,26838;2,36E-18;2,36E-18
1,26681;2,16E-18;2,16E-18
1,26524;2,08E-18;2,11E-18
1,26367;2,00E-18;1,89E-18
1,2621;2,28E-18;2,22E-18
1,26053;2,19E-18;2,19E-18
1,25896;2,50E-18;2,44E-18
1,25739;2,55E-18;2,66E-18
1,25582;2,05E-18;2,16E-18
1,25425;2,08E-18;2,08E-18
1,25268;2,41E-18;2,36E-18
1,25111;2,44E-18;2,47E-18
1,24954;1,97E-18;1,94E-18
1,24797;1,89E-18;2,00E-18
1,2464;2,47E-18;2,53E-18
1,24483;2,28E-18;2,33E-18
1,24326;2,22E-18;2,36E-18
1,24169;2,55E-18;2,61E-18
1,24012;2,41E-18;2,58E-18
1,23855;1,89E-18;2,00E-18
1,23698;1,78E-18;1,80E-18
1,23541;2,03E-18;2,08E-18
1,23384;2,36E-18;2,41E-18
1,23227;1,72E-18;1,78E-18
1,2307;1,75E-18;1,92E-18
1,22913;2,16E-18;2,25E-18
1,22756;2,33E-18;2,28E-18
1,22599;2,33E-18;2,30E-18
1,22442;1,97E-18;1,92E-18
1,22285;2,03E-18;2,03E-18
1,22128;1,67E-18;1,64E-18
1,21971;2,25E-18;2,28E-18
1,21814;1,69E-18;1,72E-18
1,21657;1,83E-18;1,80E-18
1,215;1,94E-18;1,94E-18
1,21343;1,92E-18;2,03E-18
1,21186;1,86E-18;1,80E-18
1,21029;1,28E-18;1,30E-18
1,20872;2,11E-18;2,08E-18
1,20715;2,05E-18;2,05E-18
1,20558;1,83E-18;1,89E-18
1,20401;2,00E-18;2,03E-18
1,20244;2,14E-18;2,22E-18
1,20087;1,78E-18;1,75E-18
1,1993;2,00E-18;2,03E-18
1,19773;2,19E-18;2,14E-18
1,19616;2,14E-18;2,14E-18
1,19459;1,97E-18;2,00E-18
1,19302;2,41E-18;2,30E-18
1,19145;2,36E-18;2,50E-18
1,18988;2,33E-18;2,19E-18
1,18831;1,89E-18;1,92E-18
1,18674;1,58E-18;1,64E-18
1,18517;1,19E-18;1,19E-18
1,1836;1,11E-18;1,17E-18
1,18203;9,16E-19;8,60E-19
1,18046;1,05E-18;1,05E-18
1,17889;7,49E-19;7,77E-19
1,17732;9,99E-19;9,71E-19
1,17575;1,03E-18;1,05E-18
1,17418;9,16E-19;9,44E-19
1,17261;9,16E-19;9,44E-19
1,17104;1,11E-18;9,71E-19
1,16947;9,71E-19;9,99E-19
1,1679;1,14E-18;1,14E-18
1,16633;8,33E-19;8,05E-19
1,16476;1,05E-18;1,11E-18
1,16319;9,44E-19;9,44E-19
1,16162;8,88E-19;8,33E-19
1,16005;1,19E-18;1,14E-18
1,15848;9,71E-19;1,03E-18
1,15691;1,08E-18;1,05E-18
1,15534;9,71E-19;9,99E-19
1,15377;1,05E-18;1,11E-18
1,1522;8,33E-19;8,33E-19
1,15063;8,33E-19;7,49E-19
1,14906;9,44E-19;9,16E-19
1,14749;9,44E-19;9,71E-19
1,14592;7,77E-19;8,05E-19
1,14435;1,08E-18;1,05E-18
1,14278;9,71E-19;1,03E-18
1,14121;1,03E-18;1,03E-18
1,13964;1,11E-18;1,14E-18
1,13807;6,38E-19;6,38E-19
1,1365;9,44E-19;9,44E-19
1,13493;8,88E-19;8,60E-19
1,13336;1,05E-18;1,03E-18
1,13179;9,85E-19;9,44E-19
1,13022;9,44E-19;9,16E-19
1,12865;7,63E-19;7,22E-19
1,12708;4,72E-19;5,00E-19
1,12551;7,36E-19;7,08E-19
1,12394;5,83E-19;5,55E-19
1,12237;5,27E-19;5,27E-19
1,1208;4,16E-19;4,16E-19
1,11923;4,86E-19;5,13E-19
1,11766;5,13E-19;5,00E-19
1,11609;5,13E-19;5,13E-19
1,11452;6,38E-19;5,83E-19
1,11295;5,69E-19;5,69E-19
1,11138;4,02E-19;4,02E-19
1,10981;4,16E-19;4,16E-19
1,10824;4,72E-19;4,58E-19
1,10667;3,47E-19;3,47E-19
1,1051;2,50E-19;2,50E-19
1,10353;4,16E-19;4,30E-19
1,10196;4,58E-19;4,44E-19
1,10039;4,86E-19;5,00E-19
1,09882;4,02E-19;4,44E-19
1,09725;5,13E-19;5,00E-19
1,09568;4,58E-19;4,58E-19
1,09411;4,58E-19;4,72E-19
1,09254;5,13E-19;5,13E-19
1,09097;4,86E-19;4,86E-19
1,0894;2,91E-19;2,64E-19
1,08783;2,08E-19;2,08E-19
1,08626;1,67E-19;1,67E-19
1,08469;2,08E-19;2,08E-19
1,08312;2,36E-19;2,36E-19
1,08155;1,80E-19;1,80E-19
1,07998;2,78E-19;2,78E-19
1,07841;2,22E-19;2,22E-19
1,07684;2,22E-19;2,50E-19
1,07527;3,05E-19;2,91E-19
1,0737;1,67E-19;1,67E-19
1,07213;3,89E-19;3,89E-19
1,07056;2,08E-19;2,08E-19
1,06899;1,94E-19;2,08E-19
1,06742;2,08E-19;2,08E-19
1,06585;2,08E-19;2,08E-19
1,06428;2,91E-19;2,91E-19
1,06271;2,15E-19;2,08E-19
1,06114;4,52E-17;4,52E-17
1,05957;5,23E-17;5,23E-17
1,058;5,28E-17;5,28E-17
1,05643;5,27E-17;5,27E-17
1,05486;5,23E-17;5,23E-17
1,05329;5,25E-17;5,25E-17
1,05172;5,31E-17;5,31E-17
1,05015;5,27E-17;5,27E-17
1,04858;5,25E-17;5,25E-17
1,04701;5,28E-17;5,28E-17
1,04544;5,35E-17;5,35E-17
1,04387;5,31E-17;5,31E-17
1,0423;5,29E-17;5,29E-17
1,04073;5,34E-17;5,34E-17
1,03916;5,37E-17;5,37E-17
1,03759;5,35E-17;5,35E-17
1,03602;5,32E-17;5,32E-17
1,03445;5,36E-17;5,36E-17
1,03288;5,39E-17;5,39E-17
1,03131;5,38E-17;5,38E-17
1,02974;5,35E-17;5,35E-17
1,02817;5,40E-17;5,40E-17
1,0266;5,44E-17;5,44E-17
1,02503;5,41E-17;5,41E-17
1,02346;5,39E-17;5,39E-17
1,02189;5,42E-17;5,42E-17
1,02032;5,46E-17;5,46E-17
1,01875;5,44E-17;5,44E-17
1,01718;5,42E-17;5,42E-17
1,01561;5,46E-17;5,46E-17
1,01404;5,50E-17;5,50E-17
1,01247;5,48E-17;5,48E-17
1,0109;5,45E-17;5,45E-17
1,00933;5,50E-17;5,50E-17
1,00776;5,52E-17;5,52E-17
1,00619;5,54E-17;5,54E-17
1,00462;5,48E-17;5,48E-17
1,00305;5,56E-17;5,56E-17
1,00148;5,54E-17;5,54E-17
0,99991;5,36E-17;5,36E-17
0,99834;2,77E-17;2,77E-17
0,99677;2,79E-17;2,79E-17
0,9952;2,78E-17;2,78E-17
0,99363;2,80E-17;2,80E-17
0,99206;2,79E-17;2,79E-17
0,99049;2,81E-17;2,81E-17
0,98892;2,80E-17;2,80E-17
0,98735;2,81E-17;2,81E-17
0,98578;2,81E-17;2,81E-17
0,98421;2,82E-17;2,82E-17
0,98264;2,81E-17;2,81E-17
0,98107;2,84E-17;2,84E-17
0,9795;2,83E-17;2,83E-17
0,97793;2,84E-17;2,84E-17
0,97636;2,84E-17;2,84E-17
0,97479;2,85E-17;2,85E-17
0,97322;2,85E-17;2,85E-17
0,97165;2,86E-17;2,86E-17
0,97008;2,86E-17;2,86E-17
0,96851;2,86E-17;2,86E-17
0,96694;2,88E-17;2,88E-17
0,96537;2,88E-17;2,88E-17
0,9638;2,88E-17;2,88E-17
0,96223;2,89E-17;2,89E-17
0,96066;2,89E-17;2,89E-17
0,95909;2,88E-17;2,88E-17
0,95752;2,89E-17;2,89E-17
0,95595;2,91E-17;2,91E-17
0,95438;2,90E-17;2,90E-17
0,95281;2,92E-17;2,92E-17
0,95124;2,91E-17;2,91E-17
0,94967;2,94E-17;2,94E-17
0,9481;2,93E-17;2,93E-17
0,94653;2,94E-17;2,94E-17
0,94496;2,92E-17;2,92E-17
0,94339;2,94E-17;2,94E-17
0,94182;2,94E-17;2,94E-17
0,94025;2,95E-17;2,95E-17
0,93868;2,95E-17;2,95E-17
0,93711;2,25E-17;2,25E-17
0,93554;1,67E-19;1,67E-19
0,93397;1,39E-19;1,39E-19
0,9324;2,22E-19;2,08E-19
0,93083;2,50E-19;2,50E-19
0,92926;1,39E-19;1,25E-19
0,92769;2,36E-19;2,36E-19
0,92612;1,67E-19;1,53E-19
0,92455;2,64E-19;2,78E-19
0,92298;3,19E-19;3,19E-19
0,92141;2,50E-19;2,50E-19
0,91984;1,94E-19;1,94E-19
0,91827;3,05E-19;3,19E-19
0,9167;2,50E-19;2,50E-19
0,91513;1,53E-19;1,53E-19
0,91356;2,22E-19;2,08E-19
0,91199;5,83E-19;5,69E-19
0,91042;5,69E-19;5,55E-19
0,90885;5,69E-19;5,83E-19
0,90728;3,47E-19;3,75E-19
0,90571;4,44E-19;4,30E-19
0,90414;3,61E-19;3,61E-19
0,90257;6,80E-19;6,66E-19
0,901;4,30E-19;4,58E-19
0,89943;3,89E-19;3,89E-19
0,89786;5,83E-19;5,69E-19
0,89629;5,83E-19;5,55E-19
0,89472;6,11E-19;6,11E-19
0,89315;5,41E-19;5,27E-19
0,89158;5,55E-19;5,55E-19
0,89001;4,72E-19;4,86E-19
0,88844;3,61E-19;3,47E-19
0,88687;5,69E-19;5,55E-19
0,8853;5,69E-19;5,83E-19
0,88373;6,25E-19;6,25E-19
0,88216;5,41E-19;5,41E-19
0,88059;3,61E-19;3,89E-19
0,87902;5,55E-19;5,83E-19
0,87745;8,33E-19;8,05E-19
0,87588;8,60E-19;8,33E-19
0,87431;9,44E-19;9,44E-19
0,87274;9,71E-19;9,71E-19
0,87117;7,49E-19;7,22E-19
0,8696;8,33E-19;8,05E-19
0,86803;9,44E-19;9,44E-19
0,86646;6,38E-19;6,11E-19
0,86489;7,77E-19;8,05E-19
0,86332;8,05E-19;7,77E-19
0,86175;8,60E-19;8,60E-19
0,86018;8,60E-19;8,88E-19
0,85861;1,22E-18;1,22E-18
0,85704;9,71E-19;9,71E-19
0,85547;9,16E-19;8,88E-19
0,8539;8,60E-19;8,33E-19
0,85233;9,16E-19;8,88E-19
0,85076;1,17E-18;1,19E-18
0,84919;6,94E-19;6,94E-19
0,84762;9,99E-19;9,99E-19
0,84605;7,77E-19;8,05E-19
0,84448;1,03E-18;1,03E-18
